상품명,쇼핑몰 상품 ID,네이버쇼핑 상품 ID,광고 계정 이름,광고 계정 ID,결과,결과 유형,결과당 비용,결과당 비용 유형,총비용,노출수,평균 CPM,클릭수,평균 CPC,클릭률(%),총 전환율(%),총 광고수익률(%)
야광 아파트 빌라 주차스티커 1000장 스티커 주문제작 원형60파이,4735076005,82279597469,hana1644,1872088,0,전환,0,전환당,14493,657,22060,7,2070,1.07,0.00,0.00
야광 주차스티커 500장 아파트 주차증 스티커 원형60파이,4735053965,82279575429,hana1644,1872088,0,전환,0,전환당,11926,125,95410,2,5963,1.60,0.00,0.00
홀로그램 주차스티커 3000장 아파트 주차 스티커 주문제작 민무늬 원형60파이,4733892694,82278414158,hana1644,1872088,0,전환,0,전환당,0,79,0,0,0,0.00,0.00,0.00
홀로그램 주차스티커 2000장 아파트 주차 스티커 주문제작 민무늬 원형60파이,4733892030,82278413494,hana1644,1872088,0,전환,0,전환당,0,11,0,0,0,0.00,0.00,0.00
홀로그램 주차스티커 1500장 아파트 주차 스티커 주문제작 민무늬 원형60파이,4733889825,82278411289,hana1644,1872088,0,전환,0,전환당,0,48,0,0,0,0.00,0.00,0.00
홀로그램 주차스티커 1000장 아파트 주차 스티커 주문제작 민무늬 원형60파이,4733888670,82278410134,hana1644,1872088,0,전환,0,전환당,6247,276,22634,3,2082,1.09,0.00,0.00
홀로그램 주차스티커 500장 아파트 주차증 스티커 민무늬 원형60파이,4733875551,82278397015,hana1644,1872088,0,전환,0,전환당,0,69,0,0,0,0.00,0.00,0.00
홀로그램 주차스티커 100장 아파트 입주민 스티커 주차증 민무늬 원형 60파이,4733867723,82278389187,hana1644,1872088,0,전환,0,전환당,1193,771,1547,1,1193,0.13,0.00,0.00
엘리베이터 슬림디자인 포켓 알림판 아파트 게시판 10구 승강기 안내문 집게형 광고면 없음,4723679985,82268201210,hana1644,1872088,0,전환,0,전환당,17090,1261,13553,6,2848,0.48,0.00,0.00
아파트게시판 슬림디자인 8구 승강기 공지사항 상가 A4 꽂이 집게형 광고면 없음,4723678434,82268199659,hana1644,1872088,0,전환,0,전환당,0,194,0,0,0,0.00,0.00,0.00
아파트 게시판 슬림디자인 6구 엘리베이터 광고판 C01 포켓형,4723675365,82268196590,hana1644,1872088,0,전환,0,전환당,0,109,0,0,0,0.00,0.00,0.00
아크릴 게시판 슬림디자인 엘리베이터 사무실 게시판 4구 학원 공지사항 A4 집게형 광고면 없음,4723671691,82268192916,hana1644,1872088,0,전환,0,전환당,1499,171,8767,1,1499,0.58,0.00,0.00
아파트 게시판 2구 엘리베이터 종이꽂이 제작 슬림디자인 승강기 안내문 A4 집게형 광고면 없음,4719591365,82264112448,hana1644,1872088,0,전환,0,전환당,11511,902,12762,3,3837,0.33,0.00,0.00
아파트 게시판 3구 엘리베이터 A4 슬림디자인 공지 보드 승강기 안내 알림판 집게형 광고면없음,4719299380,82263820463,hana1644,1872088,0,전환,0,전환당,0,67,0,0,0,0.00,0.00,0.00
아파트 게시판 1구 엘리베이터 A4 종이꽂이 안내문 슬림디자인 승강기 알림판 건물 상가 관리 집게형 광고면 없음,4717101257,82261622279,hana1644,1872088,0,전환,0,전환당,0,11,0,0,0,0.00,0.00,0.00
소형 A형 입간판 출입금지 안내 화장실 청소중 A형 입간판 출입금지 접이식 표지판 주차금지 미끄럼주의 경고 표시판 소형 노랑 무지,4708329524,82252850546,hana1644,1872088,0,전환,0,전환당,0,3,0,0,0,0.00,0.00,0.00
